Datum,app_opens,swipes_likes,swipes_passes,superlikes,matches,messages_sent,messages_received,advertising_id,idfa,total_swipes
2022-07-11,397,4967,3565,8,7,1,0,,,8532
2022-08-10,329,1256,843,2,4,33,39,,,2099
2022-09-09,450,1286,756,0,6,7,3,,,2042
2022-10-09,501,1343,979,0,6,9,5,,,2322
2022-11-08,632,1804,2560,0,4,30,34,,,4364
2022-12-08,399,1378,1906,0,3,1,0,,,3284
2023-01-07,394,1006,1127,0,5,3,0,,,2133
2023-02-06,531,1265,1666,0,2,1,0,,,2931
2023-03-08,562,3989,5838,9,1,8,6,,,9827
2023-04-07,1142,6268,10939,12,18,94,85,,,17207
2023-05-07,315,1750,2101,7,13,11,16,,,3851
2023-06-06,694,2989,4214,13,11,51,38,,,7203
2023-07-06,7,56,116,0,0,0,0,,,172
